Абиссинская сизоворонка;Сизоворонки;Сизоворонковые;Ракшеобразные;Птицы;Хордовые
Абиссинский заяц;Зайцы;Зайцевые;Зайцеобразные;Млекопитающие;Хордовые
Абиссинский рогатый ворон;Рогатые;Bucorvidae;Птицы;Птицы;Хордовые
Абиссобротула;Абиссобротулы;Ошибневые;Ошибнеобразные;Лучепёрые;Хордовые
Абрауская тюлька;Тюльки;Сельдевые;Сельдеобразные;Лучепёрые;Хордовые
Абрикосовая ципрея;Cypraea;Каури;Littorinimorpha;Брюхоногие;Моллюски
Авдотка;Авдотки;Авдотковые;Ржанкообразные;Птицы;Хордовые
Австралийская авдотка;Авдотки;Авдотковые;Ржанкообразные;Птицы;Хордовые
Австралийская болотная крыса;Крысы;Мышиные;Грызуны;Млекопитающие;Хордовые
Австралийская бычья акула;Бычьи;Разнозубые;Разнозубообразные;Хрящевые;Хордовые
Австралийская ворона;Вороны;Врановые;Воробьинообразные;Птицы;Хордовые
Австралийская головастая акула;Головастые;Кошачьи;Кархаринообразные;Хрящевые;Хордовые
Австралийская граллина;Граллины;Монарховые;Воробьинообразные;Птицы;Хордовые
Австралийская длиннорылая акула;Длиннорылые;Серые;Кархаринообразные;Хрящевые;Хордовые
Австралийская ехидна;Ехидны;Ехидновые;Однопроходные;Млекопитающие;Хордовые
Австралийская зелёная черепаха;Natator;Морские;Черепахи;Пресмыкающиеся;Хордовые
Австралийская змеешейка;Змеешейки;Змеешейковые;Олушеобразные;Птицы;Хордовые
Австралийская змеиношеяя черепаха;Австралийские;Змеиношеие;Черепахи;Пресмыкающиеся;Хордовые
Австралийская коралловая кошачья акула;Коралловые;Кошачьи;Кархаринообразные;Хрящевые;Хордовые
Австралийская короткошипая акула;Короткошипые;Короткошипые;Катранообразные;Хрящевые;Хордовые
Австралийская крачка;Sternula;Чайковые;Ржанкообразные;Птицы;Хордовые
Австралийская кунья акула;Обыкновенные;Куньи;Кархаринообразные;Хрящевые;Хордовые
Австралийская мангровая змея;Myron;Homalopsidae;Чешуйчатые;Пресмыкающиеся;Хордовые
Австралийская минога;Австралийские;Геотриевые;Миногообразные;Миноги;Хордовые
Австралийская нематалоза;Нематалозы;Сельдевые;Сельдеобразные;Лучепёрые;Хордовые
Австралийская олуша;Morus;Олушевые;Олушеобразные;Птицы;Хордовые
Австралийская пеганка;Пеганки;Утиные;Гусеобразные;Птицы;Хордовые
Австралийская пеламида;Пеламиды;Скумбриевые;Скумбриеобразные;Лучепёрые;Хордовые
Австралийская поганка;Малые;Поганковые;Поганкообразные;Птицы;Хордовые
Австралийская птица-колокольчик;Австралийские;Oreoicidae;Воробьинообразные;Птицы;Хордовые
Австралийская пятнистая кошачья акула;Австралийские;Кошачьи;Кархаринообразные;Хрящевые;Хордовые
Австралийская пятнистая макрель;Макрели;Скумбриевые;Скумбриеобразные;Лучепёрые;Хордовые
Австралийская рыба-лента;Вогмеры;Вогмеровые;Опахообразные;Лучепёрые;Хордовые
Австралийская савка;Савки;Утиные;Гусеобразные;Птицы;Хордовые
Австралийская сипуха;Сипухи;Сипуховые;Совообразные;Птицы;Хордовые
Австралийская скумбрия;Скумбрии;Скумбриевые;Скумбриеобразные;Лучепёрые;Хордовые
Австралийская центрина;Трёхгранные;Трёхгранные;Катранообразные;Хрящевые;Хордовые
Австралийская чайка;Chroicocephalus;Чайковые;Ржанкообразные;Птицы;Хордовые
Австралийская шилоклювка;Настоящие;Шилоклювковые;Ржанкообразные;Птицы;Хордовые
Австралийская широконоска;Spatula;Утиные;Гусеобразные;Птицы;Хордовые
Австралийский бурый ястреб;Настоящие;Ястребиные;Ястребообразные;Птицы;Хордовые
Австралийский бычерыл;Бычерылы;Орляковые;Хвостоколообразные;Хрящевые;Хордовые
Австралийский ворон;Вороны;Врановые;Воробьинообразные;Птицы;Хордовые
Австралийский гидролаг;Гидролаги;Химеровые;Химерообразные;Хрящевые;Хордовые
Австралийский гладколобый удильщик;Гладколобые;Удильщиковые;Удильщикообразные;Лучепёрые;Хордовые
Австралийский древесный варан;Вараны;Вараны;Чешуйчатые;Пресмыкающиеся;Хордовые
Австралийский журавль;Журавли;Журавлиные;Журавлеобразные;Птицы;Хордовые
Австралийский ибис;Черношейные;Ибисовые;Пеликанообразные;Птицы;Хордовые
Австралийский колючепёр;Австралийские;Эноплосовые;Окунеобразные;Лучепёрые;Хордовые
Австралийский кулик-сорока;Кулики;Кулики;Ржанкообразные;Птицы;Хордовые
Австралийский морской ангел;Плоскотелые;Скватиновые;Скватинообразные;Хрящевые;Хордовые
Австралийский морской бекас;Нотопогоны;Макрорамфозовые;Иглообразные;Лучепёрые;Хордовые
Австралийский нактус;Нактусы;Гекконовые;Чешуйчатые;Пресмыкающиеся;Хордовые
Австралийский нырок;Чернети;Утиные;Гусеобразные;Птицы;Хордовые
Австралийский орёл-карлик;Ястребиные;Ястребиные;Ястребообразные;Птицы;Хордовые
Австралийский орляк;Орляки;Орляковые;Хвостоколообразные;Хрящевые;Хордовые
Австралийский пегий кулик-сорока;Кулики;Кулики;Ржанкообразные;Птицы;Хордовые
Австралийский пеликан;Пеликаны;Пеликановые;Пеликанообразные;Птицы;Хордовые
Австралийский перепел;Перепела;Фазановые;Курообразные;Птицы;Хордовые
